row,desk,date,firstHalf,secondHalf
1,CLUJ_5_beta_1.1,01/01/2024,FALSE,TRUE
2,CLUJ_5_beta_1.2,01/01/2024,TRUE,FALSE
3,CLUJ_5_beta_1.3,01/01/2024,FALSE,TRUE
4,CLUJ_5_beta_1.4,01/01/2024,TRUE,FALSE
5,CLUJ_5_beta_2.1,01/01/2024,TRUE,TRUE
6,CLUJ_5_beta_2.2,01/01/2024,FALSE,FALSE
7,CLUJ_5_beta_2.3,01/01/2024,FALSE,FALSE
8,CLUJ_5_beta_2.4,01/01/2024,FALSE,FALSE
9,CLUJ_5_beta_3.1,01/01/2024,TRUE,FALSE
10,CLUJ_5_beta_3.2,01/01/2024,TRUE,TRUE
11,CLUJ_5_beta_3.3,01/01/2024,TRUE,FALSE
12,CLUJ_5_beta_3.4,01/01/2024,FALSE,FALSE
13,CLUJ_5_beta_4.1,01/01/2024,FALSE,TRUE
14,CLUJ_5_beta_4.2,01/01/2024,FALSE,FALSE
15,CLUJ_5_beta_4.3,01/01/2024,TRUE,FALSE
16,CLUJ_5_beta_4.4,01/01/2024,TRUE,FALSE
17,CLUJ_5_beta_5.1,01/01/2024,TRUE,TRUE
18,CLUJ_5_beta_5.2,01/01/2024,TRUE,TRUE
19,CLUJ_5_beta_5.3,01/01/2024,TRUE,FALSE
20,CLUJ_5_beta_5.4,01/01/2024,TRUE,TRUE
21,CLUJ_5_beta_6.1,01/01/2024,FALSE,TRUE
22,CLUJ_5_beta_6.2,01/01/2024,TRUE,FALSE
23,CLUJ_5_beta_6.3,01/01/2024,FALSE,TRUE
24,CLUJ_5_beta_6.4,01/01/2024,FALSE,FALSE
25,CLUJ_5_beta_7.1,01/01/2024,FALSE,FALSE
26,CLUJ_5_beta_7.2,01/01/2024,FALSE,FALSE
27,CLUJ_5_beta_7.3,01/01/2024,TRUE,FALSE
28,CLUJ_5_beta_7.4,01/01/2024,FALSE,FALSE
29,CLUJ_5_beta_8.1,01/01/2024,TRUE,TRUE
30,CLUJ_5_beta_8.2,01/01/2024,TRUE,TRUE
31,CLUJ_5_beta_8.3,01/01/2024,TRUE,FALSE
32,CLUJ_5_beta_8.4,01/01/2024,FALSE,FALSE
33,CLUJ_5_beta_9.1,01/01/2024,FALSE,TRUE
34,CLUJ_5_beta_9.2,01/01/2024,FALSE,TRUE
35,CLUJ_5_beta_9.3,01/01/2024,FALSE,TRUE
36,CLUJ_5_beta_9.4,01/01/2024,TRUE,TRUE
37,CLUJ_5_beta_10.1,01/01/2024,FALSE,FALSE
38,CLUJ_5_beta_10.2,01/01/2024,FALSE,TRUE
39,CLUJ_5_beta_10.3,01/01/2024,TRUE,TRUE
40,CLUJ_5_beta_10.4,01/01/2024,FALSE,FALSE
41,CLUJ_5_beta_11.1,01/01/2024,FALSE,FALSE
42,CLUJ_5_beta_11.2,01/01/2024,FALSE,TRUE
43,CLUJ_5_beta_11.3,01/01/2024,FALSE,TRUE
44,CLUJ_5_beta_11.4,01/01/2024,TRUE,TRUE
45,CLUJ_5_beta_12.1,01/01/2024,FALSE,TRUE
46,CLUJ_5_beta_12.2,01/01/2024,FALSE,TRUE
47,CLUJ_5_beta_12.3,01/01/2024,FALSE,FALSE
48,CLUJ_5_beta_12.4,01/01/2024,TRUE,TRUE
49,CLUJ_5_beta_13.1,01/01/2024,FALSE,FALSE
50,CLUJ_5_beta_13.2,01/01/2024,TRUE,TRUE
51,CLUJ_5_beta_13.3,01/01/2024,TRUE,FALSE
52,CLUJ_5_beta_13.4,01/01/2024,FALSE,TRUE
53,CLUJ_5_beta_14.1,01/01/2024,FALSE,TRUE
54,CLUJ_5_beta_14.2,01/01/2024,FALSE,TRUE
55,CLUJ_5_beta_14.3,01/01/2024,FALSE,FALSE
56,CLUJ_5_beta_14.4,01/01/2024,TRUE,FALSE
57,CLUJ_5_beta_15.1,01/01/2024,TRUE,TRUE
58,CLUJ_5_beta_15.2,01/01/2024,FALSE,FALSE
59,CLUJ_5_beta_15.3,01/01/2024,FALSE,FALSE
60,CLUJ_5_beta_15.4,01/01/2024,TRUE,TRUE
61,CLUJ_5_beta_16.1,01/01/2024,FALSE,FALSE
